topico,numero,pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,resposta
ECTOPARASITAS,213,A sarna demodécica é considerada uma doença:,Altamente transmissível por contato,Associada a fatores hereditários e imunossupressão,Exclusiva de animais adultos,De manifestação exclusivamente no pavilhão auditivo,,B
ECTOPARASITAS,214,A sarna otodécica causa sintomas típicos como:,Lesões em membros e úbere,Pústulas com exsudato purulento,Secreção escura nos ouvidos tipo “borra de café”,Alopecia em forma de colar cervical,,C
ECTOPARASITAS,215,*Psoroptes spp.* é um gênero de ácaros de importância principalmente em:,Cães e gatos,Apenas ovinos,Bovinos e ovinos,Apenas bovinos,,C
ECTOPARASITAS,216,"Sobre o diagnóstico da escabiose canina, é correto afirmar que:",O raspado de pele é altamente sensível,Requer dois raspados para confirmação,Devem ser realizados de 7 a 10 raspados por animal,Só pode ser diagnosticada via PCR,,C
ECTOPARASITAS,217,Qual sarna apresenta alta sensibilidade ao raspado e é facilmente confirmada por ele?,Sarna demodécica,Sarna notoédrica,Sarna sarcóptica,Sarna otodécica,,A
ECTOPARASITAS,218,Qual dessas sarnas é de notificação compulsória em vários países e causa grande impacto em ovinos?,Sarna demodécica,Sarna notoédrica,Sarna otodécica,Sarna psorótica (*Psoroptes ovis*),,D
ECTOPARASITAS,219,A principal característica das miíases obrigatórias é:,As larvas só se desenvolvem em matéria vegetal.,As larvas se desenvolvem apenas em tecidos vivos.,São causadas apenas por moscas hematófagas.,O ciclo depende da presença de fezes.,,B
ECTOPARASITAS,220,A miíase biontófaga é aquela em que:,As larvas se alimentam apenas de restos vegetais.,"As larvas invadem tecidos vivos, causando dano direto.",As larvas alimentam-se de animais já mortos.,O parasitismo ocorre apenas em aves.,,B
ECTOPARASITAS,221,A mosca *Cochliomyia hominivorax* causa:,Miíase facultativa de ferida,Miíase gastrointestinal,Miíase obrigatória traumática,Miíase cutânea por ovos em fezes,,C
ECTOPARASITAS,222,A miíase cutânea causada por larvas de *Dermatobia hominis* é conhecida como:,Bicheira,Berne,Miíase intestinal,Miíase nasal,,B
ECTOPARASITAS,223,A transmissão de *Dermatobia hominis* ocorre por:,Deposição direta de ovos no solo,Ingestão de alimentos contaminados,Fixação de ovos em moscas ou mosquitos vetores,Penetração direta das larvas pela pele,,C
ECTOPARASITAS,224,A larva de *Dermatobia hominis* se localiza principalmente:,"No tecido subcutâneo, formando um nódulo furunculóide",Na cavidade nasal,No sistema digestório,No fígado dos bovinos,,A
ECTOPARASITAS,225,Uma diferença entre *C. hominivorax* e *D. hominis* é que:,Ambas causam o mesmo tipo de lesão.,*C. hominivorax* é endêmica apenas no Norte do Brasil.,*C. hominivorax* infesta feridas.,*D. hominis* é uma mosca hematófaga.,,C
ECTOPARASITAS,226,A *Musca domestica* pode estar envolvida em casos de miíase:,"Não, é apenas vetor mecânico, sem participação parasitária.","Sim, como agente de miíase facultativa em feridas ou cavidades.","Sim, causando miíase obrigatória tecidual.","Sim, exclusivamente em animais imunossuprimidos.",,B
ECTOPARASITAS,227,Qual mosca hematófaga é vetor mecânico importante e pode causar irritação intensa nos animais?,*Lucilia sericata*,*Cochliomyia hominivorax*,*Stomoxys calcitrans*,*Musca domestica*,,C
ECTOPARASITAS,228,A principal fonte de alimento da *Stomoxys calcitrans* é:,Néctar,Matéria orgânica em decomposição,Sangue,Secreções oculares,,C
ECTOPARASITAS,229,A bicheira causada por *C. hominivorax* se instala geralmente:,No intestino,Em feridas abertas,No nariz,Nas articulações,,B
ECTOPARASITAS,230,Qual o nome da estrutura respiratória visível na larva de *D. hominis*?,Tromba,Espiráculo posterior,Cerdas sensoriais,Escolex,,B
ECTOPARASITAS,231,O desenvolvimento da larva de *Dermatobia hominis* leva cerca de:,2 dias,7 dias,15 dias,30 a 60 dias,,D
